abato	aba-to
aŭtoro	aŭ-to-ro
aŭtoroj	aŭ-to-r-oj
aŭtuno	aŭ-tu-no
avantaĝo	avan-ta-ĝo
avantaĝon	avan-ta-ĝ-on
avara	ava-ra
avaro	ava-ro
avarulo	ava-r-ulo
avĉjon	av-ĉjon
aveno	ave-no
aventurema	aven-tu-r-ema
aventuro	aven-tu-ro
aventuroj	aven-tu-r-oj
aventuron	aven-tu-r-on
avenuo	ave-nuo
avertas	aver-t-as
averti	aver-ti
aviadile	avi-ad-ile
aviadilo	avi-ad-ilo
aviadiloj	avi-ad-il-oj
aviadilon	avi-ad-il-on
aviado	avi-ado
avida	avi-da
avino	avi-no
avio	avio
avokado	avo-ka-do
azeno	aze-no
azerbajĝana	azer-baj-ĝa-na
azilo	azi-lo
azio	azio
azotacido	azo-t-aci-do
azoto	azo-to
babiladis	ba-bi-l-ad-is
babilado	ba-bi-l-ado
babilema	ba-bi-l-ema
babilis	ba-bi-l-is
babilo	ba-bi-lo
bacilo	ba-ci-lo
bacon	ba-c-on
bagatela	ba-ga-te-la
bagatelo	ba-ga-te-lo
bagateloj	ba-ga-te-l-oj
bagatelon	ba-ga-te-l-on
bagdadon	bag-dad-on
bajoneto	ba-jo-ne-to
baki	ba-ki
bakita	ba-k-ita
bakterio	bak-te-rio
balaaĵĉaristo	ba-la-aĵ-ĉa-r-isto
balado	ba-la-do
balai	ba-lai
balancĉevalojn	ba-lanc-ĉe-va-l-ojn
balanci	ba-lan-ci
balasto	ba-la-s-to
balaston	ba-la-s-t-on
balbuti	bal-bu-ti
baldaŭ	bal-daŭ
balenosto	ba-le-no-s-to
balisto	ba-li-s-to
balo	ba-lo
balono	ba-lo-no
baloti	ba-lo-ti
baloto	ba-lo-to
balzama	bal-za-ma
bambuo	bam-buo
banalaj	ba-na-l-aj
banano	ba-na-no
banĉambroj	ban-ĉam-br-oj
bandaĝo	ban-da-ĝo
bandito	ban-di-to
bando	ban-do
bani	ba-ni
banko	ban-ko
bankrotaranĝo?	ban-kro-t-aran-ĝo
bankroto	ban-kro-to
banto	ban-to
baptano	bap-ta-no
bapti	bap-ti
baptofilo	bap-to-fi-lo
baptopatro	bap-to-pa-tro
barakti	ba-rak-ti
barbaro	bar-ba-ro
barbiro	bar-biro
barbo	bar-bo
barelo	ba-re-lo
barilo	ba-r-ilo
barko	bar-ko
baro	baro
basko	ba-s-ko
basraj	bas-r-aj
bastoneto	ba-s-to-n-eto
bastono	ba-s-to-no
bataladi	ba-ta-l-adi
batalado	ba-ta-l-ado
batalados	ba-ta-l-ad-os
batalakiri	ba-ta-l-akiri
batalantoj	ba-ta-l-ant-oj
batalas	ba-ta-l-as
batali	ba-ta-li
batalilo	ba-ta-l-ilo
batalilon	ba-ta-l-il-on
batalŝminko	ba-tal-ŝmin-ko
batalus	ba-ta-l-us
batas	ba-t-as
bati	ba-ti
batis	ba-t-is
batisto	ba-ti-s-to
batita	ba-t-ita
baton	ba-t-on
batŝnuro	bat-ŝnu-ro
baza	ba-za
bazan	ba-z-an
bazareto	ba-za-r-eto
bazaro	ba-za-ro
bazarreto	ba-zar-reto
bazilo	ba-zi-lo
bazita	ba-z-ita
bazo	ba-zo
bazvortaro	baz-vort-aro
bebo	be-bo
bedaŭras	be-daŭ-r-as
bedaŭri	be-daŭ-ri
bedaŭrinda	be-daŭ-r-inda
bedaŭrindaĵon	be-daŭ-rin-d-aĵ-on
bedaŭrindan	be-daŭ-r-ind-an
bedaŭrinde	be-daŭ-r-inde
behemoto	be-he-mo-to
bejo	be-jo
beko	be-ko
bela	bela
beladono	bela-do-no
belaj	bel-aj
belan	bel-an
belanima	bel-ani-ma
belartoj	bel-art-oj
belaspekta	bel-as-pek-ta
bele	bele
beleco	bel-eco
belega	bel-ega
belegan	bel-eg-an
beletra	bele-tra
beletro	bele-tro
bellana	bel-la-na
belŝmiraĵo	bel-ŝmir-aĵo
belulajn	bel-ul-ajn
belulan	bel-ul-an
belulina	bel-ul-ina
belulinaj	bel-ul-in-aj
belulinajn	bel-ul-in-ajn
belulinan	bel-ul-in-an
beluline	bel-ul-ine
belulino	bel-ul-ino
belulinoj	bel-ul-in-oj
belulinojn	bel-ul-in-ojn
belulinon	bel-ul-in-on
belulo	bel-ulo
belulojn	bel-ul-ojn
bendo	ben-do
beni	be-ni
benkapogilo?	ben-ka-po-g-ilo
benketo	ben-k-eto
benko	ben-ko
benos	be-n-os
benzino	ben-zi-no
bergamoto	ber-ga-mo-to
berilo	be-ri-lo
bero	be-ro
besto	bes-to
bestoj	bes-t-oj
bestonomoj	bes-to-no-m-oj
beto	be-to
betulo	be-tu-lo
bezona	be-zo-na
bezonaj	be-zo-n-aj
bezonante	be-zo-n-an-te
bezonas	be-zo-n-as
bezonata	be-zo-n-ata
bezonataĵo	be-zo-na-t-aĵo
bezoni	be-zo-ni
bezonis	be-zo-n-is
bezono	be-zo-no
bezonoj	be-zo-n-oj
bezonos	be-zo-n-os
bezonus	be-zo-n-us
biblioteko	bi-b-li-o-te-ko
biblisciencon	bi-b-li-sci-en-c-on
biciklo	bi-ci-klo
bido	bido
bieno	bi-e-no
biero	bi-e-ro
bieron	bi-e-r-on
bifsteko	bif-ste-ko
bigoto	bi-go-to
bilardo	bi-lar-do
bildgalerioj	bild-ga-le-ri-oj
bildo	bil-do
bileto	bi-le-to
bileton	bi-le-t-on
bilo	bi-lo
bindi	bin-di
biogaso	bio-ga-so
birdido	bir-d-ido
birdo	bir-do
biskoto	bi-s-ko-to
biskvito	bi-s-k-vi-to
bismuton	bis-mu-t-on
bitlibro	bit-li-bro
bito	bito
bitokoj	bit-ok-oj
bitumo	bi-tu-mo
bizaro	bi-za-ro
blanka	blan-ka
blankaĵo	blan-k-aĵo
blasfemi	bla-s-fe-mi
blato	bla-to
bleki	ble-ki
blinda	blin-da
blinde	blin-de
blindigita	blin-d-ig-ita
bloko	blo-ko
blonda	blon-da
blondan	blon-d-an
blondulo	blon-d-ulo
blondulon	blon-d-ul-on
bloveksciti	blo-v-eks-ci-ti
bloveŝveli	blo-ve-ŝve-li
blovi	blo-vi
blovoŝvelas	blo-vo-ŝve-l-as
blua	blua
bluaj	blu-aj
bluzo	bluzo
boato	bo-ato
bofilo	bo-fi-lo
bofratino	bo-fra-ti-no
bofrato	bo-fra-to
bogefratoj	bo-ge-fra-t-oj
bogepatroj	bo-ge-pa-tr-oj
bohemo	bo-he-mo
bojaroj	bo-jar-oj
boji	bo-ji
bojkoto	boj-ko-to
boksganto	boks-gan-to
bolanta	bo-l-an-ta
boleto	bo-le-to
boli	bo-li
bolido	bo-li-do
bombono	bom-bo-no
bona	bona
bonaj	bon-aj
bonaĵo	bon-aĵo
bonan	bon-an
bone	bone
boneco	bon-eco
bonedukita	bon-edu-k-ita
bonega	bon-ega
bonegan	bon-eg-an
bonege	bon-ege
boneggustan	bon-eg-gu-s-t-an
bonekonata	bone-ko-n-ata
bonevino	bo-ne-vi-no
bonfaran	bon-fa-r-an
bongusta	bon-gu-s-ta
bonkora	bon-ko-ra
bonkore	bon-ko-re
bono	bono
bonodoro	bon-odo-ro
bonoj	bon-oj
bonsoneco	bon-so-n-eco
bonŝanca	bon-ŝan-ca
bontrovo	bon-tro-vo
bonvena	bon-ve-na
bonvolas	bon-vo-l-as
bonvoli	bon-vo-li
bonvolo	bon-vo-lo
bonvolu	bon-vo-lu
bonvolus	bon-vo-l-us
boparenco	bo-pa-ren-co
bopatrino	bo-pa-tri-no
bopatro	bo-pa-tro
bordo	bor-do
bordoj	bor-d-oj
bori	bo-ri
borso	bor-so
bosna	bos-na
botaniko	bo-ta-ni-ko
boteleto	bo-te-l-eto
botelo	bo-te-lo
botelon	bo-te-l-on
botisto	bo-t-isto
boto	bo-to
bovido	bo-v-ido
bovino	bo-vi-no
bovlo	bov-lo
bovo	bo-vo
braceleto	bra-ce-le-to
brakhorloĝon	brak-hor-lo-ĝ-on
brako	bra-ko
brakoj	bra-k-oj
brakseĝoj	brak-se-ĝ-oj
brakumi	bra-k-umi
branĉfaskon	branĉ-fa-s-k-on
branĉnesto	branĉ-nes-to
branĉo	bran-ĉo
brando	bran-do
brandon	bran-d-on
brasiko	bra-si-ko
bratislava	bra-ti-sla-va
brava	bra-va
bravulo	bra-v-ulo
brazilo	bra-zi-lo
breĉon	bre-ĉ-on
bredi	bre-di
Breĵnev	breĵ-nev
bremso	brem-so
breto	breto
breveto	bre-ve-to
brido	bri-do
brigado	bri-ga-do
brigantino	bri-gan-ti-no
brigo	bri-go
briĝo	bri-ĝo
briko	bri-ko
brilas	bri-l-as
brile	bri-le
brili	bri-li
brilo	bri-lo
brito	bri-to
brokanti	bro-kan-ti
brokanto	bro-kan-to
brokato	bro-ka-to
bronzo	bron-zo
broso	bro-so
broŝuro	bro-ŝu-ro
brovo	bro-vo
bruegon	bru-eg-on
brui	brui
bruli	bru-li
bruligi	bru-l-igi
brulo	brulo
brulstampi	brul-stam-pi
brulŝnuro	brul-ŝnu-ro
brulumo	bru-l-umo
brumo	brumo
bruna	bru-na
brunharan	brun-har-an
bruo	bruo
bruoj	bru-oj
bruon	bru-on
brusto	bru-s-to
brustŝvele	bru-st-ŝve-le
brutaro	bru-t-aro
bruto	bru-to
bubo	bu-bo
buboj	bu-b-oj
buĉi	bu-ĉi
buĉverŝu	buĉ-ver-ŝu
budĝeto	bud-ĝ-eto
budhanoj	bud-ha-n-oj
budho	bud-ho
budo	bu-do
buĝeto	bu-ĝe-to
bukedo	bu-ke-do
buklo	bu-klo
buko	bu-ko
bulbo	bul-bo
bulgaroj	bul-ga-r-oj
bulko	bul-ko
bulo	bu-lo
bulteno	bul-te-no
bulvardo	bul-var-do
bumo	bu-mo
burĝo	bur-ĝo
burĝono	bur-ĝo-no
buso	bu-so
buŝa	buŝa
buŝaj	buŝ-aj
buŝe	buŝe
buŝharmonikon	buŝ-har-mo-ni-k-on
buŝo	buŝo
buŝpeco	buŝ-pe-co
buŝplastro	buŝ-pla-s-tro
buŝpleno	buŝ-ple-no
buŝumo	buŝ-umo
butano	bu-ta-no
butero	bu-te-ro
butiko	bu-ti-ko
butono	bu-to-no
butonumi	bu-to-n-umi
cedadi	ce-d-adi
cedi	ce-di
cedilo	ce-di-lo
celadas	ce-l-ad-as
celado	ce-l-ado
celadon	ce-l-ad-on
celados	ce-l-ad-os
celas	ce-l-as
celo	ce-lo
celoj	ce-l-oj
celon	ce-l-on
cemento	ce-men-to
cenobito	ce-no-bi-to
cent	cent
centilitro	cen-ti-li-tro
centimetro	cen-ti-me-tro
centimo	cen-ti-mo
centjaro	cent-jaro
centjaroj	cent-jar-oj
cento	cen-to
centobla	cen-t-ob-la
centoblaj	cen-t-ob-l-aj
centoblajn	cen-t-ob-l-ajn
centoblan	cen-t-ob-l-an
centoble	cen-t-ob-le
centobleco	cen-t-ob-l-eco
centoblo	cen-t-ob-lo
centobloj	cen-t-ob-l-oj
centoblojn	cen-t-ob-l-ojn
centoblon	cen-t-ob-l-on
centoj	cen-t-oj
centon	cent-on
centonajn	cent-on-ajn
centone	cent-one
centonojn	cent-on-ojn
centopajn	cent-op-ajn
centope	cent-ope
centopo	cent-opo
centopojn	cent-op-ojn
centralo	cen-tra-lo
centro	cen-tro
cepo	ce-po
cerbklarecon	cerb-kla-r-ec-on
cerbo	cer-bo
cerbon	cer-b-on
certa	cer-ta
certaj	cer-t-aj
certe	cer-te
certeco	cer-t-eco
certecon	cer-t-ec-on
certigas	cer-t-ig-as
certigi	cer-t-igi
certiĝi	cer-t-iĝi
cervo	cer-vo
cetera	ce-te-ra
ceteraj	ce-te-r-aj
cetere	ce-te-re
cezaran	ce-za-r-an
cidaro	ci-da-ro
cifero	ci-fe-ro
ciferplato	ci-fer-plato
